"Column Name","Label"
"S2303_C06_004E","Percent Female!!Estimate!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C06_004M","Percent Female!!Margin of Error!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C01_005E","Total!!Estimate!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C01_005M","Total!!Margin of Error!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C02_005E","Percent Total!!Estimate!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C02_005M","Percent Total!!Margin of Error!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C03_005E","Male!!Estimate!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C03_005M","Male!!Margin of Error!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C04_005E","Percent Male!!Estimate!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C04_005M","Percent Male!!Margin of Error!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C05_005E","Female!!Estimate!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C05_005M","Female!!Margin of Error!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C06_005E","Percent Female!!Estimate!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C06_005M","Percent Female!!Margin of Error!!WEEKS WORKED!!Worked 27 to 39 weeks"
"S2303_C01_006E","Total!!Estimate!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C01_006M","Total!!Margin of Error!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C02_006E","Percent Total!!Estimate!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C02_006M","Percent Total!!Margin of Error!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C03_006E","Male!!Estimate!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C03_006M","Male!!Margin of Error!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C04_006E","Percent Male!!Estimate!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C04_006M","Percent Male!!Margin of Error!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C05_006E","Female!!Estimate!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C05_006M","Female!!Margin of Error!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C06_006E","Percent Female!!Estimate!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C06_006M","Percent Female!!Margin of Error!!WEEKS WORKED!!Worked 14 to 26 weeks"
"S2303_C01_007E","Total!!Estimate!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C01_007M","Total!!Margin of Error!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C02_007E","Percent Total!!Estimate!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C02_007M","Percent Total!!Margin of Error!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C03_007E","Male!!Estimate!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C03_007M","Male!!Margin of Error!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C04_007E","Percent Male!!Estimate!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C04_007M","Percent Male!!Margin of Error!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C05_007E","Female!!Estimate!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C05_007M","Female!!Margin of Error!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C06_007E","Percent Female!!Estimate!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C06_007M","Percent Female!!Margin of Error!!WEEKS WORKED!!Worked 1 to 13 weeks"
"S2303_C01_008E","Total!!Estimate!!WEEKS WORKED!!Did not work"
"S2303_C01_008M","Total!!Margin of Error!!WEEKS WORKED!!Did not work"
"S2303_C02_008E","Percent Total!!Estimate!!WEEKS WORKED!!Did not work"
"S2303_C02_008M","Percent Total!!Margin of Error!!WEEKS WORKED!!Did not work"
"S2303_C03_008E","Male!!Estimate!!WEEKS WORKED!!Did not work"
"S2303_C03_008M","Male!!Margin of Error!!WEEKS WORKED!!Did not work"
"S2303_C04_008E","Percent Male!!Estimate!!WEEKS WORKED!!Did not work"
"S2303_C04_008M","Percent Male!!Margin of Error!!WEEKS WORKED!!Did not work"
"S2303_C05_008E","Female!!Estimate!!WEEKS WORKED!!Did not work"
"S2303_C05_008M","Female!!Margin of Error!!WEEKS WORKED!!Did not work"
"S2303_C06_008E","Percent Female!!Estimate!!WEEKS WORKED!!Did not work"
"S2303_C06_008M","Percent Female!!Margin of Error!!WEEKS WORKED!!Did not work"
"S2303_C01_009E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C01_009M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C02_009E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C02_009M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C03_009E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C03_009M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C04_009E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C04_009M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C05_009E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C05_009M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C06_009E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C06_009M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week"
"S2303_C01_010E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C01_010M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C02_010E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C02_010M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C03_010E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C03_010M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C04_010E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C04_010M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C05_010E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C05_010M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C06_010E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C06_010M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks"
"S2303_C01_011E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C01_011M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C02_011E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C02_011M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C03_011E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C03_011M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C04_011E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C04_011M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C05_011E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C05_011M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C06_011E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C06_011M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!48 to 49 weeks"
"S2303_C01_012E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C01_012M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C02_012E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C02_012M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C03_012E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C03_012M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C04_012E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C04_012M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C05_012E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C05_012M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C06_012E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C06_012M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 to 47 weeks"
"S2303_C01_013E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C01_013M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C02_013E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C02_013M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C03_013E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C03_013M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C04_013E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C04_013M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C05_013E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C05_013M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C06_013E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C06_013M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!27 to 39 weeks"
"S2303_C01_014E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C01_014M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C02_014E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C02_014M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C03_014E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C03_014M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C04_014E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C04_014M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C05_014E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C05_014M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C06_014E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C06_014M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!14 to 26 weeks"
"S2303_C01_015E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C01_015M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C02_015E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C02_015M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C03_015E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C03_015M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C04_015E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C04_015M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C05_015E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C05_015M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C06_015E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C06_015M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!1 to 13 weeks"
"S2303_C01_016E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C01_016M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C02_016E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C02_016M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C03_016E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C03_016M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C04_016E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C04_016M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C05_016E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C05_016M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C06_016E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C06_016M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week"
"S2303_C01_017E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C01_017M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C02_017E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C02_017M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C03_017E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C03_017M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C04_017E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C04_017M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C05_017E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C05_017M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C06_017E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C06_017M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks"
"S2303_C01_018E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C01_018M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C02_018E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C02_018M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C03_018E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C03_018M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C04_018E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C04_018M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C05_018E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C05_018M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C06_018E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C06_018M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!48 to 49 weeks"
"S2303_C01_019E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C01_019M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C02_019E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C02_019M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C03_019E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C03_019M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C04_019E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C04_019M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C05_019E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C05_019M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C06_019E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C06_019M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 to 47 weeks"
"S2303_C01_020E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C01_020M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C02_020E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C02_020M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C03_020E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C03_020M","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C04_020E","Percent Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C04_020M","Percent Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C05_020E","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C05_020M","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C06_020E","Percent Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C06_020M","Percent Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!27 to 39 weeks"
"S2303_C01_021E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!14 to 26 weeks"
"S2303_C01_021M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!14 to 26 weeks"
"S2303_C02_021E","Percent Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!14 to 26 weeks"
"S2303_C02_021M","Percent Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!14 to 26 weeks"
"S2303_C03_021E","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!14 to 26 weeks"
