,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2021_median_household_income,60364,62102,56139,65348,56488,66096,64894,53720,68840,63331,52278,65139,78201,50239,54841,48063,70092,56009,117927,80960
2021_median_income_error,9111,4678,6663,2957,4232,3581,2367,3203,10348,3418,6605,9101,3562,4888,2034,4061,4000,5081,9101,7246
2021_mean_household_income,75147,82281,75661,99415,73551,93224,88924,74113,97122,78121,71272,83770,94724,72069,84590,75064,91790,83489,160511,99591
2021_mean_income_error,6027,6055,7140,4200,8708,5397,3298,7394,12373,4909,5526,9341,4941,7700,3098,6272,5370,9335,8882,6914
2022_median_household_income,67746,69756,63659,72473,48918,76219,69999,55666,68157,67264,54373,79171,76857,59315,61516,53585,88764,64899,129275,87003
2022_median_income_error,9389,4643,5619,2059,6418,3846,2549,5382,6509,3319,4493,7719,3189,5447,1977,3521,7014,3507,7717,6567
2022_mean_household_income,82246,91775,80138,106423,62860,104450,97387,78630,84572,81741,70930,89642,92198,77051,90039,74476,107927,92486,175034,104647
2022_mean_income_error,6431,7347,6492,4172,7783,3940,3927,5830,5530,4477,6461,6384,3228,6492,3043,4870,6111,9688,8178,5990
2015_pov_children,40.8,20.0,26.8,27.5,20.4,21.9,20.7,30.6,16.3,17.3,22.0,20.4,12.5,18.2,32.4,25.0,11.4,22.9,5.3,7.1
2015_pov_children_error,10.2,6.7,8.8,3.8,7.6,3.8,3.4,8.0,6.0,4.2,6.8,7.5,3.9,7.1,2.8,5.3,4.2,7.1,2.6,4.0
2015_pov_adult,19.0,12.3,20.1,14.7,18.4,13.8,15.9,14.8,12.1,12.5,23.0,10.5,11.2,13.5,16.8,15.3,9.6,18.0,4.1,7.1
2015_pov_adult_error,3.9,2.8,4.2,1.2,4.1,1.7,1.4,3.2,2.9,2.1,4.3,3.0,1.9,3.2,1.2,2.4,1.9,2.7,1.3,3.0
2015_pov_no_hs,41.3,26.7,29.5,32.8,32.9,28.4,33.1,24.6,32.3,23.0,24.0,16.0,23.3,26.6,32.1,32.6,16.6,23.4,15.9,16.9
2015_pov_no_hs_error,9.1,11.8,7.9,4.0,11.0,5.3,5.2,9.8,13.4,10.1,7.7,9.5,8.1,8.4,4.3,7.5,5.8,7.1,6.9,7.0
2015_pov_bach,1.0,4.4,7.3,4.0,6.3,5.0,4.7,3.2,3.7,5.1,3.3,9.2,3.8,6.5,3.6,1.3,2.4,6.0,2.1,2.3
2015_pov_bach_error,1.0,4.3,4.1,0.9,3.7,1.5,1.1,3.6,2.9,2.8,3.0,7.7,1.5,4.2,0.8,0.7,1.5,2.6,1.0,1.9
2015_pov_employed,9.1,5.0,7.5,8.0,9.0,7.5,8.8,9.0,6.2,8.0,8.9,7.8,7.5,8.1,8.9,7.3,4.1,8.3,2.0,1.5
2015_pov_employed_error,2.9,1.6,2.4,1.0,3.5,1.2,1.3,2.7,1.9,1.9,3.4,2.3,1.7,2.8,0.8,1.5,1.1,2.2,0.9,0.8
2015_pov_no_work,27.1,17.8,28.2,27.8,25.4,20.5,23.2,21.2,23.4,20.4,33.2,17.5,16.6,20.3,27.1,20.2,19.0,24.9,9.9,16.4
2015_pov_no_work_error,5.2,4.7,5.4,2.4,5.4,2.9,2.4,4.1,6.2,3.9,6.3,6.5,3.0,4.7,1.9,3.6,4.0,4.1,2.7,6.7
2016_pov_children,13.7,13.0,17.7,22.3,25.5,18.3,17.3,27.9,14.1,16.4,27.5,13.1,14.1,26.3,34.5,25.6,13.3,20.7,6.8,11.1
2016_pov_children_error,6.6,4.9,6.6,3.5,7.9,3.8,3.3,7.6,5.7,4.8,9.0,5.6,3.7,9.9,2.9,7.3,3.0,6.9,2.3,4.4
2016_pov_adult,13.6,10.9,13.6,13.6,16.7,12.3,15.8,19.1,9.0,12.9,20.5,6.9,10.0,14.8,17.5,16.3,9.0,15.1,5.8,7.1
2016_pov_adult_error,3.3,2.4,2.9,1.2,4.1,1.8,1.5,3.9,2.4,2.6,3.7,2.3,1.7,3.0,1.3,3.2,1.6,2.4,1.6,1.8
2016_pov_no_hs,29.9,21.5,27.2,27.1,29.7,35.2,23.7,32.9,21.7,38.1,26.8,16.7,15.1,14.3,33.9,25.6,21.2,18.0,27.3,19.6
2016_pov_no_hs_error,10.8,7.8,8.3,3.5,10.3,5.9,4.9,8.6,10.3,11.6,8.7,6.6,7.4,6.6,3.2,7.0,6.1,7.2,14.2,8.8
2016_pov_bach,6.9,3.0,4.0,6.1,3.5,3.8,3.8,5.2,3.6,6.3,4.7,2.4,3.5,5.7,5.4,0.8,1.1,3.8,2.3,3.2
2016_pov_bach_error,4.1,2.0,2.3,1.1,3.3,1.6,0.9,2.8,2.5,2.8,2.8,2.0,1.4,3.2,1.0,0.7,0.7,1.8,1.0,2.0
2016_pov_employed,8.3,6.8,6.9,6.7,8.0,5.2,8.5,6.2,3.3,7.8,15.2,2.6,6.9,8.3,8.5,7.8,4.3,9.5,3.2,2.9
2016_pov_employed_error,3.3,2.0,2.1,0.9,3.2,1.2,1.1,2.1,1.6,2.2,3.8,1.2,1.4,2.9,0.8,1.9,1.2,2.2,1.2,0.9
2016_pov_no_work,19.3,13.9,18.4,27.8,23.3,22.3,22.6,31.6,16.3,23.2,24.7,13.4,14.1,20.4,29.1,21.1,16.3,19.3,10.2,14.2
2016_pov_no_work_error,4.9,3.8,4.9,2.4,5.4,2.9,2.4,6.4,4.0,4.1,4.6,4.8,2.9,5.3,2.1,4.1,3.3,3.8,3.2,4.1
2017_pov_children,21.8,20.6,23.9,23.7,27.4,16.4,17.8,24.2,8.2,16.6,34.4,22.6,14.5,15.1,30.2,26.2,8.6,17.5,2.8,13.5
2017_pov_children_error,8.4,7.2,7.4,3.7,12.3,3.7,2.7,8.5,5.5,4.2,13.2,8.8,3.9,6.5,2.8,5.8,3.9,6.3,1.4,4.5
2017_pov_adult,16.0,11.2,18.4,12.8,19.5,12.2,13.9,17.4,8.7,12.9,21.8,11.8,9.4,12.7,15.9,15.1,7.8,16.4,3.7,7.9
2017_pov_adult_error,3.9,2.6,3.4,1.2,4.6,1.5,1.5,3.4,2.9,1.9,4.3,3.4,1.8,3.3,1.3,2.3,1.8,2.9,1.1,2.2
2017_pov_no_hs,35.9,27.2,35.7,28.3,30.9,26.9,29.2,22.7,21.0,25.5,25.4,26.4,30.5,16.1,33.5,32.6,19.7,28.6,4.4,19.6
2017_pov_no_hs_error,13.4,8.8,9.7,4.3,11.0,6.2,5.0,9.7,10.3,8.0,9.1,10.5,9.4,10.0,3.5,6.3,6.7,10.3,4.7,9.2
2017_pov_bach,3.3,3.4,2.7,5.5,7.6,3.6,4.4,1.3,4.2,5.3,1.6,1.1,3.2,6.0,4.1,3.2,4.5,4.8,1.7,4.1
2017_pov_bach_error,3.0,1.9,1.8,1.1,7.1,1.1,1.2,1.3,3.1,1.9,1.7,1.4,1.5,4.4,0.9,1.4,2.2,2.8,0.9,2.2
2017_pov_employed,6.5,5.9,7.8,7.0,9.9,5.7,7.3,8.3,4.3,7.8,12.4,6.5,5.9,8.8,6.9,5.4,4.8,9.0,2.1,3.9
2017_pov_employed_error,2.7,2.0,2.1,0.9,4.2,1.1,1.1,2.6,2.1,1.8,3.7,2.9,1.5,2.4,0.9,1.3,1.3,2.6,0.8,1.3
2017_pov_no_work,21.9,16.0,30.8,24.3,24.7,18.8,23.4,25.9,17.4,22.8,25.6,18.4,17.6,13.0,28.5,19.6,14.7,20.7,5.9,14.5
2017_pov_no_work_error,5.5,3.2,4.8,2.7,5.3,2.2,3.0,5.2,5.1,3.4,5.3,4.8,3.8,4.9,2.1,2.8,3.9,4.1,2.2,3.9
2018_pov_children,22.1,7.4,25.5,27.5,24.5,17.8,14.9,32.3,13.3,16.9,7.1,16.3,12.4,26.3,34.6,27.7,11.6,16.5,1.9,10.1
2018_pov_children_error,11.4,3.8,9.6,3.6,9.7,4.2,2.8,8.1,6.1,4.4,5.9,6.4,3.9,8.9,4.1,6.8,3.3,5.5,1.2,5.0
2018_pov_adult,21.5,9.8,13.3,12.7,12.5,12.7,14.2,16.8,9.5,12.1,17.1,9.7,11.3,13.5,18.6,15.6,7.7,15.1,3.4,8.1
2018_pov_adult_error,5.9,1.9,3.4,1.2,3.1,1.5,1.5,3.3,2.8,2.3,3.7,2.9,1.8,2.8,1.4,2.7,1.5,2.4,1.3,2.4
2018_pov_no_hs,43.2,24.6,31.3,28.9,18.8,30.2,32.9,23.7,27.6,32.4,23.2,14.7,20.9,22.1,35.6,31.8,13.9,26.2,9.5,19.5
2018_pov_no_hs_error,15.5,7.8,12.5,4.5,8.5,6.1,6.7,8.0,10.8,10.1,11.6,8.4,8.1,9.1,4.8,6.2,4.4,12.7,6.3,8.1
2018_pov_bach,4.6,2.1,6.9,4.3,4.1,3.7,3.2,2.0,2.4,4.0,1.6,1.5,4.8,3.7,5.5,4.7,3.5,7.0,1.4,1.7
2018_pov_bach_error,2.8,1.5,5.1,0.8,4.1,1.3,0.9,1.9,2.8,1.6,1.3,1.2,2.0,3.2,1.5,1.7,1.7,3.2,0.6,1.3
2018_pov_employed,11.9,4.9,8.0,7.9,6.4,6.8,7.3,7.6,3.9,7.1,9.6,3.5,6.5,8.4,8.9,7.6,3.2,8.1,2.5,2.6
2018_pov_employed_error,4.4,1.6,2.5,0.9,2.4,1.3,1.2,2.6,1.8,1.6,3.2,1.6,1.5,2.4,1.0,1.7,0.9,2.3,1.1,1.3
2018_pov_no_work,24.4,15.1,20.4,23.8,18.0,18.7,21.5,20.9,17.5,17.1,19.8,19.5,17.0,16.6,30.6,21.1,17.8,23.1,6.5,17.2
2018_pov_no_work_error,5.7,3.2,6.3,2.5,5.6,2.4,2.5,5.0,4.9,3.9,4.3,4.8,3.4,5.1,2.4,3.5,2.9,4.3,2.1,4.1
2019_pov_children,25.5,12.4,17.0,17.5,28.8,19.4,16.2,33.6,7.2,17.3,22.1,15.7,16.1,22.2,25.9,27.0,12.0,21.6,4.4,12.1
2019_pov_children_error,9.4,5.3,6.0,3.6,12.8,3.9,3.1,8.5,4.4,4.5,9.7,5.9,5.2,10.1,3.5,9.5,5.0,5.9,2.1,4.8
2019_pov_adult,15.9,10.5,15.2,11.2,15.4,11.6,13.3,14.4,6.4,11.7,18.7,9.5,9.8,11.3,14.3,13.9,8.4,17.3,4.4,6.6
2019_pov_adult_error,4.2,2.6,3.6,1.2,4.2,1.5,1.5,3.2,1.7,2.0,4.4,2.9,2.0,3.1,1.4,2.5,2.3,2.7,1.4,1.9
2019_pov_no_hs,29.2,28.9,38.5,23.0,29.5,28.6,29.0,29.9,12.4,28.2,34.9,24.2,19.4,22.3,32.1,28.8,14.0,34.0,22.6,12.8
2019_pov_no_hs_error,10.9,9.4,11.2,4.3,12.1,6.1,6.5,9.9,6.9,16.1,15.1,8.2,6.7,8.7,4.2,5.9,6.6,10.9,11.9,7.8
2019_pov_bach,6.6,3.0,5.0,5.4,5.3,4.0,4.1,2.2,1.8,4.1,3.0,4.0,7.6,4.5,2.9,4.6,2.3,6.1,1.4,2.8
2019_pov_bach_error,3.8,1.8,3.5,1.2,5.3,1.4,0.9,1.6,1.2,2.1,2.5,3.0,2.9,3.1,0.8,1.8,1.3,2.8,0.7,1.9
2019_pov_employed,5.1,4.2,6.3,6.5,6.9,5.6,6.5,6.4,3.1,7.2,10.6,3.1,5.8,7.0,6.7,6.8,4.3,7.7,2.3,4.0
2019_pov_employed_error,2.0,1.7,2.6,0.8,3.3,1.0,1.2,2.3,1.4,1.9,4.3,1.4,1.6,2.9,0.9,1.7,1.6,1.6,1.0,1.7
2019_pov_no_work,27.4,17.6,24.6,22.3,20.4,19.5,23.1,27.2,12.9,17.9,22.1,22.4,16.8,18.1,27.2,19.7,12.7,26.0,10.6,11.7
2019_pov_no_work_error,6.4,3.8,6.6,2.3,6.0,2.9,2.6,5.1,3.7,3.7,5.5,5.5,3.7,4.2,2.4,3.5,3.9,4.9,3.2,3.1
2021_pov_children,17.8,12.5,10.3,22.4,8.5,17.0,11.4,26.7,20.2,14.1,15.4,11.4,10.5,19.4,24.1,30.1,8.9,19.7,3.5,6.8
2021_pov_children_error,7.7,5.5,4.6,3.1,6.7,4.1,3.0,6.4,8.9,5.6,8.7,5.3,3.7,8.3,3.6,6.8,3.3,7.0,1.9,3.4
2021_pov_adult,15.3,8.6,9.6,13.8,9.7,11.7,13.3,15.4,8.2,10.3,10.8,10.5,8.3,15.7,16.1,16.9,8.0,15.1,3.6,8.5
2021_pov_adult_error,3.3,2.1,3.1,1.1,3.0,1.8,1.4,3.0,2.4,2.3,2.9,3.3,1.7,4.0,1.4,2.7,1.9,2.5,1.0,2.7
2021_pov_no_hs,27.9,20.1,15.8,30.9,24.4,26.1,25.4,35.6,20.6,16.3,13.1,21.4,13.9,27.6,31.4,27.7,19.2,33.2,11.8,20.5
2021_pov_no_hs_error,14.6,7.4,7.6,6.2,9.0,6.0,3.9,12.1,12.0,7.4,6.8,11.4,5.6,12.9,4.0,7.8,6.8,12.0,9.1,10.0
2021_pov_bach,5.6,3.9,3.4,6.0,1.3,3.2,4.1,6.9,1.7,5.1,5.9,12.4,3.1,2.9,4.9,6.1,2.1,3.4,1.9,3.3
2021_pov_bach_error,4.4,2.4,2.5,1.0,1.6,1.2,0.9,3.8,2.4,2.4,4.6,9.5,1.4,2.1,1.0,2.4,1.2,1.5,0.8,1.8
2021_pov_employed,6.9,4.9,3.4,6.9,3.3,5.5,5.3,7.4,3.6,5.9,7.0,4.2,5.2,7.7,7.4,6.4,4.2,8.3,1.5,3.2
2021_pov_employed_error,2.8,1.8,1.6,0.9,1.7,1.2,0.8,2.4,1.6,1.8,2.6,2.0,1.4,2.5,0.8,1.9,1.3,1.9,0.6,1.3
2021_pov_no_work,24.9,12.7,15.9,27.7,16.5,20.9,23.5,24.8,14.4,17.8,22.6,20.6,12.6,20.9,30.6,23.7,15.1,20.5,8.8,17.0
2021_pov_no_work_error,5.5,2.9,4.9,3.0,4.8,2.8,2.1,4.9,4.6,4.3,6.9,7.9,3.5,6.9,2.4,4.0,3.7,4.0,2.6,5.7
2022_pov_children,10.7,9.4,18.1,22.1,28.1,17.1,10.5,15.2,15.9,16.0,30.9,10.5,11.2,15.1,23.7,27.8,5.1,18.2,3.4,9.2
2022_pov_children_error,5.2,3.6,7.2,4.1,12.3,4.4,3.0,7.4,8.8,4.5,9.6,6.9,3.2,5.2,2.9,8.8,2.4,7.4,1.9,4.1
2022_pov_adult,14.1,8.2,12.5,12.2,18.0,10.2,11.7,14.2,8.6,10.4,19.6,6.6,9.1,11.0,14.5,13.7,5.7,13.6,3.8,6.6
2022_pov_adult_error,3.7,1.9,3.3,1.2,3.9,1.7,1.5,3.9,2.6,1.9,4.4,2.5,1.6,2.6,1.3,2.7,1.6,2.7,1.2,2.0
2022_pov_no_hs,48.4,19.2,22.8,24.0,25.4,26.9,24.7,25.9,30.1,22.9,48.0,23.1,13.6,22.3,32.5,33.1,19.8,39.8,7.3,19.8
2022_pov_no_hs_error,15.9,10.2,10.3,5.1,12.2,6.4,5.4,9.3,15.2,11.4,14.1,10.0,5.0,8.7,4.8,7.7,9.1,12.0,5.7,8.9
2022_pov_bach,3.0,3.6,4.8,5.1,7.0,4.7,3.6,1.6,2.8,6.3,7.0,1.0,2.7,6.7,4.1,1.8,1.6,4.1,1.5,1.6
2022_pov_bach_error,2.0,1.8,3.1,1.0,5.3,1.2,1.0,1.3,2.4,2.3,4.8,1.2,1.1,3.9,0.8,1.1,1.1,2.0,0.7,1.0
2022_pov_employed,6.1,3.7,7.7,6.6,8.7,4.9,5.5,7.6,4.3,6.9,11.8,4.3,5.8,6.3,6.6,6.1,2.4,9.5,2.3,2.6
2022_pov_employed_error,2.5,1.4,2.9,0.9,2.9,1.1,0.9,3.1,2.2,1.8,3.8,2.2,1.3,1.7,0.9,1.9,0.9,2.2,1.0,0.9
2022_pov_no_work,21.4,16.0,16.0,26.3,24.4,18.3,21.1,20.3,16.4,19.3,32.4,10.3,16.1,16.6,27.5,20.3,16.3,18.2,7.0,15.7
2022_pov_no_work_error,5.5,3.4,3.9,2.7,6.8,2.5,3.0,5.0,5.3,4.3,6.8,4.5,2.9,4.6,2.2,3.1,4.0,4.1,2.4,4.7
